지역명,승차건수,평균
강남구,173652,1615.5
강동구,221475,1835
강북구,213819,2000.333333
강서구,278705,2829.666667
관악구,75363,2304.5
광진구,92199,1330.666667
구로구,117564,1888.666667
금천구,25276,1177
노원구,593358,2780
도봉구,136011,1627.166667
동대문구,98298,1579.833333
동작구,107689,1601.166667
마포구,203746,1532.333333
서대문구,254411,1342.333333
서초구,98992,1221.666667
성동구,62004,1200.666667
성북구,113009,1929.166667
송파구,129740,2050
양천구,143370,1721.833333
영등포구,170465,1609
용산구,32080,990.5
은평구,231928,2337.666667
종로구,165133,738.5
중구,26287,726.1666667
중랑구,162867,2046.833333
