,1,2,평균
0,0.261187645,0.422787418,0.374307486
1,0.345370915,0.527137311,0.472607392
2,0.331893987,0.605736471,0.523583726
3,0.446113413,1,0.833834024
4,0.088168609,0.75033674,0.551686301
5,0.117805176,0.287378179,0.236506278
6,0.16245542,0.552650345,0.435591867
7,0,0.214325331,0.150027732
8,1,0.976388559,0.983471991
9,0.194927845,0.42833373,0.358311964
10,0.128541302,0.40583155,0.322644476
11,0.145072366,0.415973378,0.334703074
12,0.314162392,0.383250138,0.362523815
13,0.40334846,0.292924491,0.326051682
14,0.129762957,0.235559781,0.203820734
15,0.064652638,0.22557642,0.177299286
16,0.154437212,0.57190397,0.446663942
17,0.183888946,0.629347912,0.495710222
18,0.207881961,0.473338087,0.393701249
19,0.25557754,0.41969733,0.370461393
20,0.011977144,0.125663577,0.091557647
21,0.363771427,0.766104112,0.645404307
22,0.246191571,0.005863244,0.077961742
23,0.001779673,0,0.000533902
24,0.24220271,0.627842484,0.512150552
